RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,SyntheticFirstName,CustomerFullName,CountryISO2,Locale,TimeZone,LocalCurrency,Region,City,PostalCode,StreetAddress,PhoneCountryCode,SyntheticPhone,SyntheticEmail,CustomerAgeGroup
22.0,15597945,Dellucci,636.0,Spain,Female,32,8.0,0.0,2.0,1.0,0.0,138555.46,0.0,Carmen,Carmen Dellucci,ES,es_ES,Europe/Madrid,EUR,Catalonia,Barcelona,08001,162 Paseo Cervantes,+34,+34 788 272 433,carmen.dellucci.7945@es.demo-bank.example,25-34
23.0,15699309,Gerasimov,510.0,Spain,Female,38,4.0,0.0,1.0,1.0,0.0,118913.53,1.0,Daniela,Daniela Gerasimov,ES,es_ES,Europe/Madrid,EUR,Basque Country,Bilbao,48001,168 Plaza de la Constitución,+34,+34 674 250 631,daniela.gerasimov.9309@es.demo-bank.example,35-44
24.0,15725737,Mosman,669.0,France,Male,46,3.0,0.0,2.0,0.0,1.0,8487.75,0.0,Antoine,Antoine Mosman,FR,fr_FR,Europe/Paris,EUR,Île-de-France,Paris,75001,170 Rue Carnot,+33,+33 6 98 96 40 60,antoine.mosman.5737@fr.demo-bank.example,45-54
25.0,15625047,Yen,846.0,France,Female,38,5.0,0.0,1.0,1.0,1.0,187616.16,0.0,Inès,Inès Yen,FR,fr_FR,Europe/Paris,EUR,Auvergne-Rhône-Alpes,Lyon,69001,36 Rue des Lilas,+33,+33 7 42 33 10 99,ines.yen.5047@fr.demo-bank.example,35-44
26.0,15738191,Maclean,577.0,France,Male,25,3.0,0.0,2.0,0.0,1.0,124508.29,0.0,Antoine,Antoine Maclean,FR,fr_FR,Europe/Paris,EUR,Auvergne-Rhône-Alpes,Lyon,69001,45 Allée Pasteur,+33,+33 7 16 31 16 91,antoine.maclean.8191@fr.demo-bank.example,25-34
27.0,15736816,Young,756.0,Germany,Male,36,2.0,136815.64,1.0,1.0,1.0,170041.95,0.0,Tim,Tim Young,DE,de_DE,Europe/Berlin,EUR,Hamburg,Hamburg,20095,HauptPlatz 62,+49,+49 173 6516886,tim.young.6816@de.demo-bank.example,35-44
28.0,15700772,Nebechi,571.0,France,Male,44,9.0,0.0,2.0,0.0,0.0,38433.35,0.0,Lucas,Lucas Nebechi,FR,fr_FR,Europe/Paris,EUR,Occitanie,Toulouse,31000,68 Rue Gambetta,+33,+33 6 68 91 55 42,lucas.nebechi.0772@fr.demo-bank.example,35-44
29.0,15728693,McWilliams,574.0,Germany,Female,43,3.0,141349.43,1.0,1.0,1.0,100187.43,0.0,Laura,Laura McWilliams,DE,de_DE,Europe/Berlin,EUR,Hamburg,Hamburg,20095,SchillerAllee 12,+49,+49 160 6759632,laura.mcwilliams.8693@de.demo-bank.example,35-44
30.0,15656300,Lucciano,411.0,France,Male,29,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0,Thomas,Thomas Lucciano,FR,fr_FR,Europe/Paris,EUR,Hauts-de-France,Lille,59000,37 Rue des Lilas,+33,+33 6 82 03 57 23,thomas.lucciano.6300@fr.demo-bank.example,25-34
31.0,15589475,Azikiwe,591.0,Spain,Female,39,3.0,0.0,3.0,1.0,0.0,140469.38,1.0,Paula,Paula Azikiwe,ES,es_ES,Europe/Madrid,EUR,Community of Madrid,Madrid,28001,199 Avenida Goya,+34,+34 613 944 325,paula.azikiwe.9475@es.demo-bank.example,35-44
32.0,15706552,Odinakachukwu,533.0,France,Male,36,7.0,85311.7,1.0,0.0,1.0,156731.91,0.0,Jules,Jules Odinakachukwu,FR,fr_FR,Europe/Paris,EUR,Pays de la Loire,Nantes,44000,89 Rue Pasteur,+33,+33 7 74 52 88 06,jules.odinakachukwu.6552@fr.demo-bank.example,35-44
33.0,15750181,Sanderson,553.0,Germany,Male,41,9.0,110112.54,2.0,0.0,0.0,81898.81,0.0,Jonas,Jonas Sanderson,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Cologne,50667,GoetheWeg 80,+49,+49 176 1539599,jonas.sanderson.0181@de.demo-bank.example,35-44
34.0,15659428,Maggard,520.0,Spain,Female,42,6.0,0.0,2.0,1.0,1.0,34410.55,0.0,María,María Maggard,ES,es_ES,Europe/Madrid,EUR,Community of Madrid,Madrid,28001,68 Avenida de la Constitución,+34,+34 658 797 958,maria.maggard.9428@es.demo-bank.example,35-44
35.0,15732963,Clements,722.0,Spain,Female,29,9.0,0.0,2.0,1.0,1.0,142033.07,0.0,Valeria,Valeria Clements,ES,es_ES,Europe/Madrid,EUR,Region of Murcia,Murcia,30001,123 Paseo Gran Vía,+34,+34 713 104 487,valeria.clements.2963@es.demo-bank.example,25-34
36.0,15794171,Lombardo,475.0,France,Female,45,0.0,134264.04,1.0,1.0,0.0,27822.99,1.0,Manon,Manon Lombardo,FR,fr_FR,Europe/Paris,EUR,Occitanie,Montpellier,34000,109 Boulevard de la Paix,+33,+33 6 59 79 58 81,manon.lombardo.4171@fr.demo-bank.example,45-54
37.0,15788448,Watson,490.0,Spain,Male,31,3.0,145260.23,1.0,0.0,1.0,114066.77,0.0,Lucas,Lucas Watson,ES,es_ES,Europe/Madrid,EUR,Basque Country,Bilbao,48001,41 Plaza Cervantes,+34,+34 757 992 815,lucas.watson.8448@es.demo-bank.example,25-34
38.0,15729599,Lorenzo,804.0,Spain,Male,33,7.0,76548.6,1.0,0.0,1.0,98453.45,0.0,Martín,Martín Lorenzo,ES,es_ES,Europe/Madrid,EUR,Basque Country,Bilbao,48001,75 Calle Cervantes,+34,+34 683 567 458,martin.lorenzo.9599@es.demo-bank.example,25-34
39.0,15717426,Armstrong,850.0,France,Male,36,7.0,0.0,1.0,1.0,1.0,40812.9,0.0,Nathan,Nathan Armstrong,FR,fr_FR,Europe/Paris,EUR,Île-de-France,Paris,75001,154 Avenue Victor Hugo,+33,+33 6 60 03 48 13,nathan.armstrong.7426@fr.demo-bank.example,35-44
40.0,15585768,Cameron,582.0,Germany,Male,41,6.0,70349.48,2.0,0.0,1.0,178074.04,0.0,Tim,Tim Cameron,DE,de_DE,Europe/Berlin,EUR,Bavaria,Munich,80331,HauptPlatz 146,+49,+49 152 2385586,tim.cameron.5768@de.demo-bank.example,35-44
41.0,15619360,Hsiao,472.0,Spain,Male,40,4.0,0.0,1.0,1.0,0.0,70154.22,0.0,Hugo,Hugo Hsiao,ES,es_ES,Europe/Madrid,EUR,Catalonia,Barcelona,08001,4 Plaza Real,+34,+34 775 392 505,hugo.hsiao.9360@es.demo-bank.example,35-44
42.0,15738148,Clarke,465.0,France,Female,51,8.0,122522.32,1.0,0.0,0.0,181297.65,1.0,Chloé,Chloé Clarke,FR,fr_FR,Europe/Paris,EUR,Nouvelle-Aquitaine,Bordeaux,33000,148 Allée de la République,+33,+33 6 67 76 17 19,chloe.clarke.8148@fr.demo-bank.example,45-54
43.0,15687946,Osborne,556.0,France,Female,61,2.0,117419.35,1.0,1.0,1.0,94153.83,0.0,Camille,Camille Osborne,FR,fr_FR,Europe/Paris,EUR,Grand Est,Strasbourg,67000,185 Boulevard de la Paix,+33,+33 6 12 81 13 59,camille.osborne.7946@fr.demo-bank.example,55-64
44.0,15755196,Lavine,834.0,France,Female,49,2.0,131394.56,1.0,0.0,0.0,194365.76,1.0,Sarah,Sarah Lavine,FR,fr_FR,Europe/Paris,EUR,Pays de la Loire,Nantes,44000,75 Avenue Carnot,+33,+33 6 69 99 70 19,sarah.lavine.5196@fr.demo-bank.example,45-54
45.0,15684171,Bianchi,660.0,Spain,Female,61,5.0,155931.11,1.0,1.0,1.0,158338.39,0.0,Paula,Paula Bianchi,ES,es_ES,Europe/Madrid,EUR,Region of Murcia,Murcia,30001,22 Avenida del Sol,+34,+34 739 900 110,paula.bianchi.4171@es.demo-bank.example,55-64
46.0,15754849,Tyler,776.0,Germany,Female,32,4.0,109421.13,2.0,1.0,1.0,126517.46,0.0,Anna,Anna Tyler,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Dortmund,44135,GoetheWeg 142,+49,+49 170 7877394,anna.tyler.4849@de.demo-bank.example,25-34
47.0,15602280,Martin,829.0,Germany,Female,27,9.0,112045.67,1.0,1.0,1.0,119708.21,1.0,Julia,Julia Martin,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Dortmund,44135,HauptPlatz 180,+49,+49 176 9778106,julia.martin.2280@de.demo-bank.example,25-34
48.0,15771573,Okagbue,637.0,Germany,Female,39,9.0,137843.8,1.0,1.0,1.0,117622.8,1.0,Sophie,Sophie Okagbue,DE,de_DE,Europe/Berlin,EUR,Berlin,Berlin,10115,FriedrichStraße 134,+49,+49 160 8000473,sophie.okagbue.1573@de.demo-bank.example,35-44
49.0,15766205,Yin,550.0,Germany,Male,38,2.0,103391.38,1.0,0.0,1.0,90878.13,0.0,Lukas,Lukas Yin,DE,de_DE,Europe/Berlin,EUR,Saxony,Leipzig,04109,BahnhofWeg 185,+49,+49 176 6910432,lukas.yin.6205@de.demo-bank.example,35-44
50.0,15771873,Buccho,776.0,Germany,Female,37,2.0,103769.22,2.0,1.0,0.0,194099.12,0.0,Marie,Marie Buccho,DE,de_DE,Europe/Berlin,EUR,Hamburg,Hamburg,20095,GartenAllee 100,+49,+49 162 4975172,marie.buccho.1873@de.demo-bank.example,35-44
51.0,15616550,Chidiebele,698.0,Germany,Male,44,10.0,116363.37,2.0,1.0,0.0,198059.16,0.0,Noah,Noah Chidiebele,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Dortmund,44135,SchillerAllee 1,+49,+49 163 5471670,noah.chidiebele.6550@de.demo-bank.example,35-44
52.0,15768193,Trevisani,585.0,Germany,Male,36,5.0,146050.97,2.0,0.0,0.0,86424.57,0.0,Felix,Felix Trevisani,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Cologne,50667,SchillerWeg 150,+49,+49 152 7902440,felix.trevisani.8193@de.demo-bank.example,35-44
53.0,15683553,O'Brien,788.0,France,Female,33,5.0,0.0,2.0,0.0,0.0,116978.19,0.0,Camille,Camille O'Brien,FR,fr_FR,Europe/Paris,EUR,Occitanie,Toulouse,31000,76 Avenue Victor Hugo,+33,+33 7 48 34 50 26,camille.o.brien.3553@fr.demo-bank.example,25-34
54.0,15702298,Parkhill,655.0,Germany,Male,41,8.0,125561.97,1.0,0.0,0.0,164040.94,1.0,Jonas,Jonas Parkhill,DE,de_DE,Europe/Berlin,EUR,Hesse,Frankfurt am Main,60311,FriedrichAllee 39,+49,+49 172 5535455,jonas.parkhill.2298@de.demo-bank.example,35-44
55.0,15569590,Yoo,601.0,Germany,Male,42,1.0,98495.72,1.0,1.0,0.0,40014.76,1.0,Finn,Finn Yoo,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Cologne,50667,SchillerAllee 49,+49,+49 151 7854822,finn.yoo.9590@de.demo-bank.example,35-44
56.0,15760861,Phillipps,619.0,France,Male,43,1.0,125211.92,1.0,1.0,1.0,113410.49,0.0,Antoine,Antoine Phillipps,FR,fr_FR,Europe/Paris,EUR,Nouvelle-Aquitaine,Bordeaux,33000,108 Allée de la Paix,+33,+33 7 65 11 10 83,antoine.phillipps.0861@fr.demo-bank.example,35-44
57.0,15630053,Tsao,656.0,France,Male,45,5.0,127864.4,1.0,1.0,0.0,87107.57,0.0,Nicolas,Nicolas Tsao,FR,fr_FR,Europe/Paris,EUR,Île-de-France,Paris,75001,133 Avenue de la République,+33,+33 6 70 09 43 14,nicolas.tsao.0053@fr.demo-bank.example,45-54
58.0,15647091,Endrizzi,725.0,Germany,Male,19,0.0,75888.2,1.0,0.0,0.0,45613.75,0.0,Ben,Ben Endrizzi,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Dortmund,44135,BahnhofPlatz 27,+49,+49 152 4396656,ben.endrizzi.7091@de.demo-bank.example,18-24
59.0,15623944,T'ien,511.0,Spain,Female,66,4.0,0.0,1.0,1.0,0.0,1643.11,1.0,Valeria,Valeria T'ien,ES,es_ES,Europe/Madrid,EUR,Basque Country,Bilbao,48001,76 Calle de la Paz,+34,+34 793 545 082,valeria.t.ien.3944@es.demo-bank.example,65+
60.0,15804771,Velazquez,614.0,France,Male,51,4.0,40685.92,1.0,1.0,1.0,46775.28,0.0,Nicolas,Nicolas Velazquez,FR,fr_FR,Europe/Paris,EUR,Occitanie,Toulouse,31000,41 Allée Carnot,+33,+33 7 10 18 95 10,nicolas.velazquez.4771@fr.demo-bank.example,45-54
61.0,15651280,Hunter,742.0,Germany,Male,35,5.0,136857.0,1.0,0.0,0.0,84509.57,0.0,Max,Max Hunter,DE,de_DE,Europe/Berlin,EUR,Baden-Württemberg,Stuttgart,70173,KirchPlatz 111,+49,+49 160 4767801,max.hunter.1280@de.demo-bank.example,35-44
62.0,15773469,Clark,687.0,Germany,Female,27,9.0,152328.88,2.0,0.0,0.0,126494.82,0.0,Mia,Mia Clark,DE,de_DE,Europe/Berlin,EUR,Bavaria,Munich,80331,HauptAllee 18,+49,+49 172 5964564,mia.clark.3469@de.demo-bank.example,25-34
63.0,15702014,Jeffrey,555.0,Spain,Male,33,1.0,56084.69,2.0,0.0,0.0,178798.13,0.0,Daniel,Daniel Jeffrey,ES,es_ES,Europe/Madrid,EUR,Valencian Community,Valencia,46001,106 Paseo del Sol,+34,+34 730 084 178,daniel.jeffrey.2014@es.demo-bank.example,25-34
64.0,15751208,Pirozzi,684.0,Spain,Male,56,8.0,78707.16,1.0,1.0,1.0,99398.36,0.0,Alejandro,Alejandro Pirozzi,ES,es_ES,Europe/Madrid,EUR,Basque Country,Bilbao,48001,109 Avenida Mayor,+34,+34 720 760 243,alejandro.pirozzi.1208@es.demo-bank.example,55-64
65.0,15592461,Jackson,603.0,Germany,Male,26,4.0,109166.37,1.0,1.0,1.0,92840.67,0.0,Finn,Finn Jackson,DE,de_DE,Europe/Berlin,EUR,Berlin,Berlin,10115,GoethePlatz 191,+49,+49 160 1795333,finn.jackson.2461@de.demo-bank.example,25-34
66.0,15789484,Hammond,751.0,Germany,Female,36,6.0,169831.46,2.0,1.0,1.0,27758.36,0.0,Anna,Anna Hammond,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Düsseldorf,40213,FriedrichWeg 177,+49,+49 160 4279301,anna.hammond.9484@de.demo-bank.example,35-44
67.0,15696061,Brownless,581.0,Germany,Female,34,1.0,101633.04,1.0,1.0,0.0,110431.51,0.0,Marie,Marie Brownless,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Dortmund,44135,ParkAllee 158,+49,+49 157 8135713,marie.brownless.6061@de.demo-bank.example,25-34
68.0,15641582,Chibugo,735.0,Germany,Male,43,10.0,123180.01,2.0,1.0,1.0,196673.28,0.0,Lukas,Lukas Chibugo,DE,de_DE,Europe/Berlin,EUR,Baden-Württemberg,Stuttgart,70173,ParkPlatz 6,+49,+49 171 2277410,lukas.chibugo.1582@de.demo-bank.example,35-44
69.0,15638424,Glauert,661.0,Germany,Female,35,5.0,150725.53,2.0,0.0,1.0,113656.85,0.0,Marie,Marie Glauert,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Essen,45127,SchillerStraße 33,+49,+49 173 8201958,marie.glauert.8424@de.demo-bank.example,35-44
70.0,15755648,Pisano,675.0,France,Female,21,8.0,98373.26,1.0,1.0,0.0,18203.0,0.0,Marie,Marie Pisano,FR,fr_FR,Europe/Paris,EUR,Hauts-de-France,Lille,59000,108 Avenue Jean Jaurès,+33,+33 7 60 89 52 23,marie.pisano.5648@fr.demo-bank.example,18-24
71.0,15703793,Konovalova,738.0,Germany,Male,58,2.0,133745.44,4.0,1.0,0.0,28373.86,1.0,Paul,Paul Konovalova,DE,de_DE,Europe/Berlin,EUR,Baden-Württemberg,Stuttgart,70173,GoetheWeg 33,+49,+49 173 5698656,paul.konovalova.3793@de.demo-bank.example,55-64
72.0,15620344,McKee,813.0,France,Male,29,6.0,0.0,1.0,1.0,0.0,33953.87,0.0,Nathan,Nathan McKee,FR,fr_FR,Europe/Paris,EUR,Hauts-de-France,Lille,59000,153 Boulevard Gambetta,+33,+33 7 38 62 39 57,nathan.mckee.0344@fr.demo-bank.example,25-34
73.0,15812518,Palermo,657.0,Spain,Female,37,0.0,163607.18,1.0,0.0,1.0,44203.55,0.0,Claudia,Claudia Palermo,ES,es_ES,Europe/Madrid,EUR,Valencian Community,Valencia,46001,63 Plaza del Sol,+34,+34 740 436 574,claudia.palermo.2518@es.demo-bank.example,35-44
74.0,15779052,Ballard,604.0,Germany,Female,25,5.0,157780.84,2.0,1.0,1.0,58426.81,0.0,Mia,Mia Ballard,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Essen,45127,BerlinerWeg 136,+49,+49 151 5349319,mia.ballard.9052@de.demo-bank.example,25-34
75.0,15770811,Wallace,519.0,France,Male,36,9.0,0.0,2.0,0.0,1.0,145562.4,0.0,Louis,Louis Wallace,FR,fr_FR,Europe/Paris,EUR,Auvergne-Rhône-Alpes,Lyon,69001,101 Avenue de la République,+33,+33 7 26 59 46 31,louis.wallace.0811@fr.demo-bank.example,35-44
76.0,15780961,Cavenagh,735.0,France,Female,21,1.0,178718.19,2.0,1.0,0.0,22388.0,0.0,Chloé,Chloé Cavenagh,FR,fr_FR,Europe/Paris,EUR,Provence-Alpes-Côte d'Azur,Nice,06000,186 Allée de la République,+33,+33 6 74 95 20 08,chloe.cavenagh.0961@fr.demo-bank.example,18-24
77.0,15614049,Hu,664.0,France,Male,55,8.0,0.0,2.0,1.0,1.0,139161.64,0.0,Antoine,Antoine Hu,FR,fr_FR,Europe/Paris,EUR,Nouvelle-Aquitaine,Bordeaux,33000,88 Avenue du Moulin,+33,+33 6 29 69 70 40,antoine.hu.4049@fr.demo-bank.example,55-64
78.0,15662085,Read,678.0,France,Female,32,9.0,0.0,1.0,1.0,1.0,148210.64,0.0,Camille,Camille Read,FR,fr_FR,Europe/Paris,EUR,Île-de-France,Paris,75001,188 Allée de la République,+33,+33 6 03 56 23 09,camille.read.2085@fr.demo-bank.example,25-34
79.0,15575185,Bushell,757.0,Spain,Male,33,5.0,77253.22,1.0,0.0,1.0,194239.63,0.0,Hugo,Hugo Bushell,ES,es_ES,Europe/Madrid,EUR,Valencian Community,Valencia,46001,71 Plaza Velázquez,+34,+34 721 129 785,hugo.bushell.5185@es.demo-bank.example,25-34
80.0,15803136,Postle,416.0,Germany,Female,41,10.0,122189.66,2.0,1.0,0.0,98301.61,0.0,Julia,Julia Postle,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Düsseldorf,40213,LindenAllee 199,+49,+49 151 4203847,julia.postle.3136@de.demo-bank.example,35-44
81.0,15706021,Buley,665.0,France,Female,34,1.0,96645.54,2.0,0.0,0.0,171413.66,0.0,Léa,Léa Buley,FR,fr_FR,Europe/Paris,EUR,Auvergne-Rhône-Alpes,Lyon,69001,128 Allée Voltaire,+33,+33 7 37 23 54 05,lea.buley.6021@fr.demo-bank.example,25-34
82.0,15663706,Leonard,777.0,France,Female,32,2.0,0.0,1.0,1.0,0.0,136458.19,1.0,Emma,Emma Leonard,FR,fr_FR,Europe/Paris,EUR,Nouvelle-Aquitaine,Bordeaux,33000,179 Allée Pasteur,+33,+33 7 94 99 13 95,emma.leonard.3706@fr.demo-bank.example,25-34
83.0,15641732,Mills,543.0,France,Female,36,3.0,0.0,2.0,0.0,0.0,26019.59,0.0,Inès,Inès Mills,FR,fr_FR,Europe/Paris,EUR,Occitanie,Montpellier,34000,118 Avenue du Moulin,+33,+33 6 00 61 21 60,ines.mills.1732@fr.demo-bank.example,35-44
84.0,15701164,Onyeorulu,506.0,France,Female,34,4.0,90307.62,1.0,1.0,1.0,159235.29,0.0,Julie,Julie Onyeorulu,FR,fr_FR,Europe/Paris,EUR,Provence-Alpes-Côte d'Azur,Marseille,13001,36 Allée du Moulin,+33,+33 6 64 96 12 98,julie.onyeorulu.1164@fr.demo-bank.example,25-34
85.0,15738751,Beit,493.0,France,Female,46,4.0,0.0,2.0,1.0,0.0,1907.66,0.0,Léa,Léa Beit,FR,fr_FR,Europe/Paris,EUR,Grand Est,Strasbourg,67000,123 Boulevard Jean Jaurès,+33,+33 6 33 50 45 86,lea.beit.8751@fr.demo-bank.example,45-54
86.0,15805254,Ndukaku,652.0,Spain,Female,75,10.0,0.0,2.0,1.0,1.0,114675.75,0.0,Sofía,Sofía Ndukaku,ES,es_ES,Europe/Madrid,EUR,Aragon,Zaragoza,50001,93 Paseo del Sol,+34,+34 796 339 446,sofia.ndukaku.5254@es.demo-bank.example,65+
87.0,15762418,Gant,750.0,Spain,Male,22,3.0,121681.82,1.0,1.0,0.0,128643.35,1.0,Pablo,Pablo Gant,ES,es_ES,Europe/Madrid,EUR,Andalusia,Málaga,29001,46 Plaza San José,+34,+34 741 475 333,pablo.gant.2418@es.demo-bank.example,18-24
