RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,churn_probability,risk
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.09236970617291473,Low
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.07299364104341778,Low
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.3098210628354297,Low
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.8142367616948536,High
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0.23505025763634377,Low
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.6152225961033596,Medium
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.26208833422795547,Low
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.07369959832699215,Low
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.1651762773695991,Low
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,0.2822376225850629,Low
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0.2268358654275149,Low
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.1401899286523636,Low
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.19061461601977744,Low
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0.07365891193010286,Low
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.029517892487987578,Low
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.4317668359929479,Low
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,0.5090392579894992,Medium
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0.16222633786912583,Low
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0.3334262943347524,Low
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0.09012708500869315,Low
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,0.835747771913374,High
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.39581492282750735,Low
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0.24047455034166337,Low
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0.08326499803146378,Low
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.029897783844617717,Low
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.2231849063972211,Low
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0.12305151099170453,Low
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,0.04613428610857215,Low
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.28450796132757816,Low
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.11923517165148095,Low
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,0.06402288098208929,Low
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0.09700547161458427,Low
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,0.9973370170610084,High
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,0.14217030255859098,Low
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0.08391561990396842,Low
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0.04697261581642874,Low
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,0.01732619939808876,Low
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0.10477716882840897,Low
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,0.053619603026998384,Low
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,0.14491766907318557,Low
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0.09082130635588762,Low
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0.383966900029331,Low
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0.08214579935941006,Low
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,0.21880992577570216,Low
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,0.029864092607989192,Low
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0.1054277547285099,Low
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,0.14130455866279779,Low
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0.010278175317368358,Low
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0.09632049370430305,Low
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,0.017890007970175013,Low
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,0.9056471599411416,High
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0.04363811911541197,Low
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,0.873337062472755,High
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0.175547908396134,Low
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,0.036233773437224205,Low
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,0.011015616853599601,Low
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0.033508778803652314,Low
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0.09658776148638903,Low
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0.09306962640639874,Low
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0.0347704321936289,Low
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0.017109678004157063,Low
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0,0.022710547929217,Low
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,0.29470222330680657,Low
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,0.151613478308279,Low
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0.08800980363247551,Low
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0.02115118751128485,Low
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,0.253469612602759,Low
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,0.19504202486772468,Low
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0.11080012956220407,Low
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0.22447872726057183,Low
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0.07887861328698292,Low
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0.22822369189662103,Low
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0.1118578241678954,Low
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0.1434772335808483,Low
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0.2100250221773518,Low
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0.052125860345748336,Low
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,0.041803500755216626,Low
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0.07911789406242295,Low
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0.2336667047582068,Low
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0,0.060092746204670665,Low
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,0.4424126782261276,Low
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,0.023917538045025905,Low
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0.04174151366171309,Low
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,0.13528519946933676,Low
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0,0.057835456654562675,Low
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0.5937731674722629,Medium
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0,0.3033832884625492,Low
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,0.20976628271127679,Low
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,0.577193796208672,Medium
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,0.9311750737585629,High
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0,0.07190253523762528,Low
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0.08428069678107704,Low
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0,0.019050671207043166,Low
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0.18258558907037437,Low
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0.07021892755549693,Low
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0,0.009246654016792828,Low
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0.08412844527562773,Low
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0.3088522966514038,Low
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0.11238327709487891,Low
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0.11820702448264753,Low
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0.7895527648281773,High
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,0.062077204662411,Low
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0.5098341375075695,Medium
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0,0.012649112311116636,Low
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0.20477211355549924,Low
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,0.8015660091237137,High
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0.19099381245450195,Low
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0.06036030807215855,Low
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0.09320922361523623,Low
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,0.10914553499411868,Low
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,0.2941586414831285,Low
150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0,0.01697786636379561,Low
151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0.031088787272996344,Low
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1,0.8198237385037169,High
153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0.05793361179760039,Low
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,0.11629893625248973,Low
155,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0,0.06489218275235245,Low
156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,0.8943452261490306,High
157,15655007,Li,758,France,Female,33,7,0.0,2,0,0,82996.47,0,0.02822564705655519,Low
158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0.019611683529067628,Low
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0.03184058397345418,Low
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,0.29885524857948953,Low
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0.06771984908188315,Low
162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0,0.017286844924412275,Low
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,0.6368875130803012,Medium
164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0.023306732949002516,Low
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,0.0965545661708897,Low
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0.047183656428675044,Low
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,0.31355368548790513,Low
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0.299042594552118,Low
169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,0.04909907931930051,Low
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,0.02390348627694449,Low
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0.145900071210855,Low
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,0.06327248346065655,Low
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,0.6424153250924506,Medium
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,0.1268719892395716,Low
175,15625524,Rowe,512,France,Male,40,5,0.0,2,1,1,146457.83,0,0.03165101667352495,Low
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,0.07655674701012119,Low
177,15645248,Ho,510,France,Female,30,0,0.0,2,1,1,130553.47,0,0.021434558291663325,Low
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,0.021932781213969434,Low
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,0.14254674889091115,Low
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,0.9020748620713811,High
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,0.2696359425695144,Low
182,15789669,Hsia,510,France,Male,65,2,0.0,2,1,1,48071.61,0,0.020993127624075267,Low
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0.30492575523133686,Low
184,15810845,T'ang,636,France,Male,42,2,0.0,2,1,1,55470.78,0,0.03306354087346497,Low
185,15719377,Cocci,804,France,Female,50,4,0.0,1,1,1,8546.87,1,0.5715065001900849,Medium
186,15654506,Chang,514,France,Male,32,8,0.0,2,1,0,95857.18,0,0.0183284904021361,Low
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,0.2458401633964088,Low
188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,0.2147232970726569,Low
189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,0.018561974261159023,Low
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0.1264113766476864,Low
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,0.08190819049780108,Low
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,0.06413248237649316,Low
193,15756850,Golovanov,479,France,Male,40,1,0.0,2,0,0,114996.43,0,0.04412531386613586,Low
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,0.08236110193966303,Low
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,0.02644845592279681,Low
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0,0.0757182955501002,Low
197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,0.020286810623725848,Low
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,0.17055838351947228,Low
199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0,0.041061176816582744,Low
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,0.09799215907083482,Low
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,0.05525226895284337,Low
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,0.12369087849539115,Low
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,0.50001466444095,Medium
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,0.07676813120199023,Low
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,0.17148815777096518,Low
206,15773039,Ku,550,France,Male,37,3,0.0,1,1,1,179670.31,0,0.16100034230312002,Low
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,0.3892177855968742,Low
208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,0.04866088934858089,Low
209,15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,142513.5,1,0.5185839842533007,Medium
210,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0.2023137289413755,Low
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,0.055021115443567824,Low
212,15624592,Tan,603,France,Male,31,8,0.0,2,1,1,169915.02,0,0.014375763227178371,Low
213,15573152,Glassman,620,France,Female,41,9,0.0,2,0,0,88852.47,0,0.058936420624464296,Low
214,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,0.09308829450231922,Low
215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,0.07345266548663043,Low
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,0.5014648846864274,Medium
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,0.538593126697396,Medium
218,15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,0.049579125434787194,Low
219,15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1,0.1220615205240326,Low
220,15774854,Fuller,592,France,Male,54,8,0.0,1,1,1,28737.71,1,0.30314999382787794,Low
221,15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0,0.04043231104978964,Low
222,15787155,Yang,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,0.09696330384137274,Low
223,15727829,McIntyre,567,France,Male,42,2,0.0,2,1,1,167984.61,0,0.04015270093884384,Low
224,15733247,Stevenson,850,France,Male,33,10,0.0,1,1,0,4861.72,1,0.14205113994970242,Low
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,0.40546211193008685,Low
226,15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0,0.055745147861427126,Low
227,15774393,Ch'ien,694,France,Female,30,9,0.0,2,1,1,26960.31,0,0.015430880190143381,Low
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,0.805676339663777,High
229,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,0.8140637017518494,High
230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,0.3100274853108792,Low
231,15808473,Ringrose,673,France,Male,72,1,0.0,2,0,1,111981.19,0,0.007423503999201468,Low
232,15627000,Freeman,610,France,Male,40,0,0.0,2,1,0,62232.6,0,0.039814554938796355,Low
233,15787174,Sergeyev,512,France,Female,37,1,0.0,2,0,1,156105.03,0,0.043573531237395324,Low
234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,0.04278948110473565,Low
235,15704769,Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11,0,0.06533222966706985,Low
236,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,0.5065856377132186,Medium
237,15711540,Pacheco,712,France,Female,29,2,0.0,1,1,1,144375.0,0,0.13342442958079573,Low
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,0.9624884018158295,High
239,15794056,Johnston,668,France,Female,46,2,0.0,3,1,0,89048.46,1,0.9060546280704527,High
240,15795149,Stevens,703,France,Male,28,2,81173.83,2,0,1,162812.16,0,0.023268885907533725,Low
241,15812009,Grant,662,Spain,Male,38,4,0.0,2,1,0,136259.65,0,0.029229899834367613,Low
242,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0,0.4329332799272178,Low
243,15813844,Barnes,703,France,Male,37,8,105961.68,2,0,1,74158.8,0,0.03482163719634249,Low
244,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,0.1974220205170779,Low
245,15576269,Madison,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0,0.01780131420710132,Low
246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1,0.29725914938650017,Low
247,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0,0.0526775275269532,Low
248,15599792,Dimauro,545,France,Female,26,1,0.0,2,1,1,199638.56,0,0.022373045873750722,Low
249,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,0.11053462037012704,Low
250,15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,0.8974421002777503,High
251,15628112,Hughes,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,0.1900997613477453,Low
252,15753754,Morrison,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0,0.020114125663690086,Low
253,15793726,Matveyeva,681,France,Female,79,0,0.0,2,0,1,170968.99,0,0.013327032283872758,Low
254,15694717,Ku,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,0.10668603004791115,Low
255,15665834,Cheatham,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0,0.1972236438507178,Low
256,15765297,Yao,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0,0.031230639530592984,Low
257,15636684,Kirkland,727,France,Male,34,10,0.0,2,1,1,198637.34,0,0.010621090135204693,Low
258,15592979,Rose,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0,0.04528489019136683,Low
259,15750803,Jess,693,France,Female,30,6,127992.25,1,1,1,50457.2,0,0.0725820863267245,Low
260,15607178,Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0,0.07607762254103337,Low
261,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0,0.13928426891650583,Low
